total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
2293,2293,1147,0,0,78.98909725,0.867293975,5.671971044,1
2296,2296,1148,0,0,79,0.867022905,5.666673952,1
2283,2283,1142,0,0,79.0109505,0.867833494,5.66224472,1
4276,4276,2567,0,0,102.9476146,1.262410607,5.478072048,1
5060,5060,2600,0,0,102.9525692,4.132562393,5.149043986,1
4702,4702,2429,0,0,103.1705657,4.865277303,5.607243856,1
6186,6186,3255,0,0,104.0161655,4.812731359,5.748629846,1
2861,2861,1437,0,0,101.5707794,5.009010923,5.728809175,1
4017,4017,2126,0,0,104.3111775,5.114503924,5.762608395,1
4383,4383,2253,0,0,102.5968515,4.543037549,5.414494106,1
4942,4942,2532,0,0,102.5532173,4.207054402,5.155606681,1
3888,3888,2003,0,0,102.7268519,4.383144909,5.28121839,1
3709,3709,1906,0,0,102.7058506,5.150567024,5.734892324,1
3664,3664,1859,0,0,104.095524,4.391965637,4.888251415,1
4014,4014,2217,0,0,109.2316891,5.880532986,5.849554341,1
4544,4544,2353,0,0,105.7825704,5.755742214,5.738194184,1
6187,6186,3112,0,0,104.2902861,5.834810737,5.810489783,1
332,332,0,0,0,54.30120482,4.189654742,4.147645822,1
4483,4483,0,0,0,154,0.664226302,0.664226302,1
4339,4339,0,0,0,154,0.605797499,0.605797499,1
4260,4260,0,0,0,154,0.608897685,0.608897685,1
4410,4410,0,0,0,154,0.618414957,0.618414957,1
4148,4148,0,0,0,154,0.574399011,0.574399011,1
4259,4259,0,0,0,154,0.618133455,0.618133455,1
4260,4260,0,0,0,154,0.595172167,0.595172167,1
4281,4281,0,0,0,154,0.574928924,0.574928924,1
4344,4343,0,0,0,153.9645488,0.595946764,0.595946764,1
4229,4230,0,0,0,154.0364152,0.609771763,0.609771763,1
4445,4445,0,0,0,154,0.644486604,0.644486604,1
3933,3933,0,0,0,154,0.479718052,0.479718052,1
4169,4169,0,0,0,154,0.560605533,0.560605533,1
4445,4445,0,0,0,154,0.613305283,0.613305283,1
4178,4178,0,0,0,154,0.586967016,0.586967016,1
4307,4307,0,0,0,154,0.650860153,0.650860153,1
4289,4289,920,0,0,145.9561669,2.275216001,1.515553924,1
2685,2685,1001,0,0,118.990689,5.738608267,1.023751494,1
3340,3341,1694,0,0,104.7347305,7.175666994,0.385466837,1
789,788,207,1,0,80.34727503,6.611785597,0.040207442,1
866,0,0,860,6,142.0969977,0.678322567,0,1
2776,0,0,0,2776,142,1.235754594,0,1
1,0,0,0,1,142,0,0,1
2697,0,0,0,2697,142,0.704600917,0,1
3500,0,0,0,3500,142,0.630760013,0,1
3742,0,0,0,3742,142,0.582019925,0,1
3066,0,0,0,3067,142.0463144,0.527319088,0,1
2640,0,0,0,2640,142,0.579354462,0,1
2214,0,0,0,2214,142,0.732988706,0,1
3820,0,0,0,3820,142,0.512096203,0,1
4172,0,0,0,4173,142.0340364,0.453189634,0,1
1054,3,3,0,1052,142.0341556,0.715252722,0,1
5888,5888,3246,0,0,109.1290761,0.611055444,0,1
3044,3044,1518,0,0,103.868594,0.638391239,0,1
3169,3169,1584,0,0,103.9842222,0.631694398,0,1
2844,2844,1449,0,0,104.9493671,0.559599433,0,1
3820,3819,1912,0,0,104.078534,0.628712647,0,1
3142,3143,1505,0,0,101.8676003,0.61629822,0,1
3217,3217,1650,0,0,105.2900218,0.602190439,0,1
3196,3196,1599,0,0,104.0312891,0.608833408,0,1
3242,3242,1636,0,0,104.4626774,0.610506368,0,1
2705,2705,1328,0,0,103.0942699,0.628440306,0,1
2844,2844,1427,0,0,104.1758087,0.61937629,0,1
2753,2753,1402,0,0,104.9262623,0.536823124,0,1
2936,2936,1448,0,0,103.3188011,0.628247941,0,1
1597,1596,543,1,0,88.02504696,0.608833408,0,1
2537,0,0,2504,33,143.649192,0.453478625,0.363084364,1
1178,0,0,1165,13,211.2478778,0.450176148,0.385759536,1
1168,0,0,1158,11,202.8476027,0.453221567,0.396410133,1
923,0,0,911,12,200.9339112,0.461600376,0.376770161,1
669,0,0,656,13,201.8565022,0.329544105,0.329544105,1
1312,0,0,1300,13,214.9984756,0.453481186,0.407913034,1
1418,0,0,1411,7,504.5401975,0.435110145,0.395403504,1
1762,0,0,0,1762,142,4.666170433,0,1
1191,0,0,0,1191,142,4.522655554,0,1
1066,0,0,0,1066,142,4.309908368,0,1
1042,0,0,0,1041,142,4.124798297,0,1
1505,0,0,0,1506,142,4.665477798,0,1
1630,0,0,0,1630,142,4.609998256,0,1
2264,0,0,0,2264,142,4.706218658,0,1
2110,0,0,0,2110,142,4.662782064,0,1
2128,0,0,0,2128,142,4.775071544,0,1
2021,0,0,0,2021,142,4.584929933,0,1
1768,0,0,0,1768,142,4.540010683,0,1
2533,0,0,0,2533,142,4.981204658,0,1
2195,1,1,0,2194,142.005467,3.465735903,0,1
1943,1943,1331,0,0,119.1312403,5.619123942,1.195706017,1
1616,1616,827,0,0,99.08044554,6.428567557,0.217213828,1
2168,2168,1146,0,0,100.7712177,6.251620799,0.630982947,1
2155,2140,861,15,0,88.29605568,5.358775646,0.787312318,1
296,0,0,191,106,52.02702703,3.135494216,0,1
