total_packets,tcp_packets,tcp_syn_packets,udp_packets,icmp_packets,avg_len,entropy_src_ip,entropy_src_port,label
87,0,0,0,87,98.0,2.288826337731014,0.0,0
82,0,0,0,82,98.0,2.2908596710422007,0.0,0
83,0,0,0,83,98.0,2.287449899155419,0.0,0
86,0,0,0,86,98.0,2.2863351877304927,0.0,0
82,0,0,0,82,98.0,2.286503105679779,0.0,0
86,0,0,0,86,98.0,2.288385536729597,0.0,0
83,0,0,0,82,96.81927710843374,2.2820016616713548,0.0,0
84,0,0,0,84,98.0,2.2886590062605494,0.0,0
83,0,0,0,83,98.0,2.286970656542228,0.0,0
85,0,0,0,85,98.0,2.2959958169061974,0.0,0
83,0,0,0,83,98.0,2.279887899443834,0.0,0
85,0,0,0,84,96.84705882352941,2.287898497136621,0.0,0
84,0,0,0,84,98.0,2.291682052759309,0.0,0
85,0,0,0,85,98.0,2.2793719855156342,0.0,0
84,0,0,0,84,98.0,2.285843159132231,0.0,0
82,0,0,0,82,98.0,2.2944955241196525,0.0,0
85,0,0,0,85,98.0,2.288826337731014,0.0,0
83,0,0,0,83,98.0,2.275021282901551,0.0,0
84,0,0,0,84,98.0,2.2912914030758214,0.0,0
86,0,0,0,86,98.0,2.2778726289077107,0.0,0
83,0,0,0,83,98.0,2.2903598567371675,0.0,0
83,0,0,0,83,98.0,2.2938888751948414,0.0,0
84,0,0,0,84,98.0,2.2837850116815583,0.0,0
84,0,0,0,84,98.0,2.2909089064228705,0.0,0
85,0,0,0,85,98.0,2.276678070057439,0.0,0
83,0,0,0,83,98.0,2.3049445549548357,0.0,0
85,0,0,0,85,98.0,2.2894918476596167,0.0,0
